Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"Pembangunan Perumahan";"Yaye pu tempat";"FX6F+PJ4, Mantabori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-1.5382345";"137.9740682";"https://maps.google.com/?cid=0x0:0x20af310b7e4e4322"
"perumahan";"Komplek perumahan";"Tuan Yairus Surumi";"GV7Q+J3H, Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-1.486342";"137.8882023";"https://maps.google.com/?cid=0x0:0x6d997de27310b86b"
"perumahan";"Komplek perumahan";"Tuan Adam Samber";"GV7Q+J3H, Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-1.4860008";"137.8880404";"https://maps.google.com/?cid=0x0:0xaaf5b69ef774956f"
"perumahan";"Komplek perumahan";"Tuan Pecky Inggimba";"GV7Q+J3H, Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-1.4865954";"137.8879127";"https://maps.google.com/?cid=0x0:0xe9000245cbf356ad"
"perumahan";"perumahan";"Papua 99377";"Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.9302628";"138.558749";"https://maps.google.com/?cid=0x0:0x56875374c777610f"
"perumahan";"perumahan";"Kampung Foau Mamberamo";"XXR6+269, Foau, Mamberamo Ulu, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-3.0099576";"138.9605972";"https://maps.google.com/?cid=0x0:0x797631583c5c1638"
"perumahan";"Pembangunan Perumahan";"Kampung Pidari";"Q5XC+W77, Dusun PIDARI kampung dou, Mamberamo Ulu";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-3.2002033";"138.1706725";"https://maps.google.com/?cid=0x0:0x22e0f6bf36521073"
"perumahan";"Bangunan Bersejarah";"Kantor kampung pibiatma";"Q9QW+VG, Taiyeve, Mamberamo Ulu, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-3.210304";"138.396267";"https://maps.google.com/?cid=0x0:0x33f7645e81e714c6"
"perumahan";"Komplek perumahan";"Kampung Douw";"P4PX+XH7, Douw, Mamberamo Ulu, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-3.262583";"138.1489328";"https://maps.google.com/?cid=0x0:0xb8f082d8ac0ed1b9"
"perumahan";"Pembangunan Perumahan";"Foau";"QWW8+8F, Foau, Mamberamo Ulu, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-3.2041367";"138.9161834";"https://maps.google.com/?cid=0x0:0xea13e887139aef9f"
"perumahan";"perumahan";"Papasena II";"3HW4+4RW, Papasena I, Mamberamo Ulu, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.9046298";"138.5570777";"https://maps.google.com/?cid=0x0:0x853e382d95543de3"
"perumahan";"Pembangunan Perumahan";"Kampung Fru";"P6M7+2X3, Dusun fru kampung dou, Mamberamo Ulu";"Kabupaten Tolikara, Papua";"PAPUA";"";"Indonesia";"";"-3.2674982";"138.2149323";"https://maps.google.com/?cid=0x0:0x849d935fba3501cc"
"perumahan";"Komplek perumahan";"Perum Pemda Mamberamo Raya";"M273+FX5, Danau Bira, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Danau Bira, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.3363722";"138.0049865";"https://maps.google.com/?cid=0x0:0xaa9a5a95ea234af7"
"perumahan";"perumahan";"Papua 99376";"Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.3686909";"138.1597946";"https://maps.google.com/?cid=0x0:0xd5bdc7e3e560174a"
"perumahan";"Komplek perumahan";"Perumahan Pemda 2 Kasonaweja";"P22M+HXG, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.2985732";"138.0349525";"https://maps.google.com/?cid=0x0:0xc298e04cb4265b87"
"perumahan";"Kantor Pemda";"Distrik Mamberamo Tengah timur";"M2QR+FC, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.3115625";"138.0411875";"https://maps.google.com/?cid=0x0:0x21f9820a3ffbe876"
"perumahan";"Komplek perumahan";"Kompleks kay";"M2JR+5VP, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.3199195";"138.0429128";"https://maps.google.com/?cid=0x0:0x4e9b0b03b92a1a67"
"perumahan";"Komplek perumahan";"Rumah pak edison doromi";"M2XJ+M23, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.3009402";"138.0302377";"https://maps.google.com/?cid=0x0:0xccba0aad35c2e449"
"perumahan";"Komplek perumahan";"Burmeso";"P452+834, Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.2917255";"138.1002024";"https://maps.google.com/?cid=0x0:0xa00c9d7afc5429d"
"perumahan";"Komplek perumahan";"Namunaweja";"P2CF+74G, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.2793181";"138.0228402";"https://maps.google.com/?cid=0x0:0xbf442f03f6b75429"
"perumahan";"Pembangunan Perumahan";"Rental Alat Berat, Burmeso kabupaten Mamberamo raya";"Belakang Rental Alat Berat, Jalan Otonom, Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Jalan Otonom, Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.2917255";"138.1002024";"https://maps.google.com/?cid=0x0:0x823506ffab046fe4"
"perumahan";"Komplek perumahan";"kampung muaramarei";"J5J2+7CX, Muaramarei, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Muaramarei, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.3692502";"138.1511242";"https://maps.google.com/?cid=0x0:0xa00041904294360a"
"perumahan";"Komplek perumahan";"Alang-Alang Atas";"M2WM+26J, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.3053523";"138.033167";"https://maps.google.com/?cid=0x0:0x29507cc7bd9c51de"
"perumahan";"Komplek perumahan";"Mamberamo Raya";"P2CQ+C55, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.278995";"138.037994";"https://maps.google.com/?cid=0x0:0xaa9e627f04081e9a"
"perumahan";"Perumahan";"Komp. Pendidikan";"M2XM+9MV, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.3015085";"138.0341652";"https://maps.google.com/?cid=0x0:0x5ea1f43cfc4a4f4"
"perumahan";"Pembangunan Perumahan";"Kampung Namunaweja";"Namunaweja, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.2804297";"138.0226155";"https://maps.google.com/?cid=0x0:0x42038acbabe7078c"
"perumahan";"Komplek perumahan";"Perumahan Pemda 2 Kasonaweja";"P22M+HXG, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.2985732";"138.0349525";"https://maps.google.com/?cid=0x0:0xc298e04cb4265b87"
"perumahan";"Komplek perumahan";"Perum Pemda Mamberamo Raya";"M273+FX5, Danau Bira, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Danau Bira, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.3363722";"138.0049865";"https://maps.google.com/?cid=0x0:0xaa9a5a95ea234af7"
"perumahan";"perumahan";"Papua 99376";"Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.3686909";"138.1597946";"https://maps.google.com/?cid=0x0:0xd5bdc7e3e560174a"
"perumahan";"Komplek perumahan";"Perumahan Pemda Eselon IV Burmeso,Mamberamo Tengah Kab.Mamberamo Raya-Papua";"P452+834, Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.2917255";"138.1002024";"https://maps.google.com/?cid=0x0:0x19a1e793f373ce35"
"perumahan";"Komplek perumahan";"Kompleks kay";"M2JR+5VP, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.3199195";"138.0429128";"https://maps.google.com/?cid=0x0:0x4e9b0b03b92a1a67"
"perumahan";"Pembangunan Perumahan";"Kampung Namunaweja";"Namunaweja, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.2804297";"138.0226155";"https://maps.google.com/?cid=0x0:0x42038acbabe7078c"
"perumahan";"Komplek perumahan";"Rumah pak edison doromi";"M2XJ+M23, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.3009402";"138.0302377";"https://maps.google.com/?cid=0x0:0xccba0aad35c2e449"
"perumahan";"Perumahan";"Komp. Pendidikan";"M2XM+9MV, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.3015085";"138.0341652";"https://maps.google.com/?cid=0x0:0x5ea1f43cfc4a4f4"
"perumahan";"Pembangunan Perumahan";"Rental Alat Berat, Burmeso kabupaten Mamberamo raya";"Belakang Rental Alat Berat, Jalan Otonom, Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Jalan Otonom, Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.2917255";"138.1002024";"https://maps.google.com/?cid=0x0:0x823506ffab046fe4"
"perumahan";"Komplek perumahan";"Mamberamo Raya";"P2CQ+C55, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.278995";"138.037994";"https://maps.google.com/?cid=0x0:0xaa9e627f04081e9a"
"perumahan";"Komplek perumahan";"Burmeso";"P452+834, Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.2917255";"138.1002024";"https://maps.google.com/?cid=0x0:0xa00c9d7afc5429d"
"perumahan";"Komplek perumahan";"kampung muaramarei";"J5J2+7CX, Muaramarei, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Muaramarei, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.3692502";"138.1511242";"https://maps.google.com/?cid=0x0:0xa00041904294360a"
"perumahan";"Komplek perumahan";"Alang-Alang Atas";"M2WM+26J, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.3053523";"138.033167";"https://maps.google.com/?cid=0x0:0x29507cc7bd9c51de"
"perumahan";"Kantor Pemda";"Distrik Mamberamo Tengah timur";"M2QR+FC, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.3115625";"138.0411875";"https://maps.google.com/?cid=0x0:0x21f9820a3ffbe876"
"perumahan";"Komplek perumahan";"Perumahan Raffless Residence 3 Blok 5 No L5";"CRQJ+5R, Nayaro, Kec. Mimika Baru, Kabupaten Mimika, Papua 99963";"Nayaro, Kec. Mimika Baru, Kabupaten Mimika";"PAPUA";"99963";"Indonesia";" 081389570264";"-4.5619259";"136.8320358";"https://maps.google.com/?cid=0x0:0xc67f214d7b433c96"
"perumahan";"Komplek perumahan";"Perumahan Raffles 2 rumah IzzuIznan";"FRJR+GJH, Jl. Badak Jl. Poros SP 2 - SP 5, Timika Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99963";"Jl. Badak Jl. Poros SP 2 - SP 5, Timika Jaya, Kec. Mimika Baru, Kabupaten Mimika";"PAPUA";"99963";"Indonesia";"";"-4.5186759";"136.8415975";"https://maps.google.com/?cid=0x0:0x647f8e67fc3f40db"
"perumahan";"perumahan";"Papua 99377";"Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.9302628";"138.558749";"https://maps.google.com/?cid=0x0:0x56875374c777610f"
"perumahan";"perumahan";"Papua";"";"Papua";"PAPUA";"";"Indonesia";"";"-4.269928";"138.0803529";"https://maps.google.com/?cid=0x0:0xeba94e9c5eefe673"
"perumahan";"perumahan";"Waropen";"Q9FQ+HV, Nonomi, Kec. Waropen Bawah, Kabupaten Waropen, Papua 98261";"Nonomi, Kec. Waropen Bawah, Kabupaten Waropen";"PAPUA";"98261";"Indonesia";"";"-2.2255671";"136.3902037";"https://maps.google.com/?cid=0x0:0xb8000994bc6c23a7"
"perumahan";"perumahan";"Kabupaten waropen Papua";"QC88+85J, Urfas, Kec. Waropen Bawah, Kabupaten Waropen, Papua";"Kabupaten Waropen, Papua";"PAPUA";"";"Indonesia";"";"-2.2341581";"136.4154022";"https://maps.google.com/?cid=0x0:0xf55b18a8e1d8429"
"perumahan";"Komplek perumahan";"KPR SMA waren";"Q96M+H4V, Sarafambai, Kec. Waropen Bawah, Kabupaten Waropen, Papua 98261";"Sarafambai, Kec. Waropen Bawah, Kabupaten Waropen";"PAPUA";"98261";"Indonesia";"";"-2.2385202";"136.382792";"https://maps.google.com/?cid=0x0:0x9cc7282181d27765"
"perumahan";"Komplek perumahan";"Waropen";"HG93+46, Ruambak Jaya Sp VII, Oadate, Kabupaten Waropen, Papua";"Kabupaten Waropen, Papua";"PAPUA";"";"Indonesia";"";"-2.4322265";"136.503123";"https://maps.google.com/?cid=0x0:0x4755ac82d10d2d4b"
"perumahan";"Komplek perumahan";"Rumah rumboy sanggei jalan darat";"QFR4+P5, Nubuai, Kabupaten Waropen, Papua";"Kabupaten Waropen, Papua";"PAPUA";"";"Indonesia";"";"-2.208202";"136.4554491";"https://maps.google.com/?cid=0x0:0x561f7b9b50123987"
"perumahan";"perumahan";"Amii Boseren";"QC8C+VV8, Batu Zaman, Kec. Waropen Bawah, Kabupaten Waropen, Papua 98261";"Batu Zaman, Kec. Waropen Bawah, Kabupaten Waropen";"PAPUA";"98261";"Indonesia";"";"-2.232967";"136.4219708";"https://maps.google.com/?cid=0x0:0x70e38874bf5a840e"
"perumahan";"perumahan";"Rumah Mundoni";"QC8C+VV8, Batu Zaman, Kec. Waropen Bawah, Kabupaten Waropen, Papua 98261";"Batu Zaman, Kec. Waropen Bawah, Kabupaten Waropen";"PAPUA";"98261";"Indonesia";"";"-2.2331241";"136.4223302";"https://maps.google.com/?cid=0x0:0x7611510560a401fa"
"perumahan";"Komplek perumahan";"Rumah woisiri";"QCRV+96C, Urei Faisei Dua, Kec. Urei Faisei, Kabupaten Waropen, Papua 98261";"Urei Faisei Dua, Kec. Urei Faisei, Kabupaten Waropen";"PAPUA";"98261";"Indonesia";"";"-2.208333";"136.4419843";"https://maps.google.com/?cid=0x0:0xbe5cb8f1e2d1d87f"
"perumahan";"Gedung Apartemen";"Kabupaten waropen";"QC66+PF3 SP 5 JALUR 3 BARAT, Jln tras, Nonomi, Kec. Waropen Bawah, Kabupaten Waropen, Papua";"Kabupaten Waropen, Papua";"PAPUA";"";"Indonesia";"";"-2.2382352";"136.4111631";"https://maps.google.com/?cid=0x0:0xd30333cd4de7e711"
"perumahan";"Komplek perumahan";"Gaigar Home";"QCMJ+F82, Batu Zaman, Kec. Waropen Bawah, Kabupaten Waropen, Papua 98261";"Batu Zaman, Kec. Waropen Bawah, Kabupaten Waropen";"PAPUA";"98261";"Indonesia";" 081327986583";"-2.2165669";"136.4318376";"https://maps.google.com/?cid=0x0:0xa57be6db6f0b6820"
"perumahan";"Komplek perumahan";"Zafran";"QC88+89, Nonomi, Kec. Waropen Bawah, Kabupaten Waropen, Papua 98261";"Nonomi, Kec. Waropen Bawah, Kabupaten Waropen";"PAPUA";"98261";"Indonesia";"";"-2.2341571";"136.4158503";"https://maps.google.com/?cid=0x0:0x2ae3afc223ea638c"
"perumahan";"Komplek perumahan";"Rumah Kel N. Bawawa";"5PJP+RP, Dawai, Distrik Yapen Timur, Kabupaten Kepulauan Yapen, Papua";"Kabupaten Kepulauan Yapen, Papua";"PAPUA";"";"Indonesia";"";"-1.8179496";"136.7368036";"https://maps.google.com/?cid=0x0:0xb8a7548dc5c75651"
"perumahan";"perumahan";"Rumah kompleks";"QFP4+HQ9, Dua, Nubuai, Kec. Urei Faisei, Kabupaten Waropen, Papua 98261";"Dua, Nubuai, Kec. Urei Faisei, Kabupaten Waropen";"PAPUA";"98261";"Indonesia";"";"-2.2135882";"136.456987";"https://maps.google.com/?cid=0x0:0x5a72f38b573262b4"
"perumahan";"perumahan";"Benuki";"Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.1703445";"137.6061625";"https://maps.google.com/?cid=0x0:0x52cfc10baae62c4"
"perumahan";"Perhimpunan Pengembang Perumahan";"Gautoha";"WC37+778, Gesa Baru, Benuki, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.0968375";"137.4132069";"https://maps.google.com/?cid=0x0:0xee6e6cfc4eb7c2c5"
"perumahan";"Komplek perumahan";"Perumahan Pemda 2 Kasonaweja";"P22M+HXG, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.2985732";"138.0349525";"https://maps.google.com/?cid=0x0:0xc298e04cb4265b87"
"perumahan";"Komplek perumahan";"Kampung Tumi";"FQ87+PGR, Watiaro, Benuki, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.5331255";"137.7637565";"https://maps.google.com/?cid=0x0:0x31e877805aa9942a"
"perumahan";"Komplek perumahan";"Perum Pemda Eselon IV Burmeso";"M254+W39, Perum Pemda Eselon IV, Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.340201";"138.0052278";"https://maps.google.com/?cid=0x0:0x171e745ce2024af0"
"perumahan";"Komplek perumahan";"Perum Pemda Mamberamo Raya";"M273+FX5, Danau Bira, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Danau Bira, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.3363722";"138.0049865";"https://maps.google.com/?cid=0x0:0xaa9a5a95ea234af7"
"perumahan";"Pembangunan Perumahan";"BURMESO";"M25F+8GG, Danau Bira, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.3416841";"138.0238437";"https://maps.google.com/?cid=0x0:0x1aca8970d849c8eb"
"perumahan";"Komplek perumahan";"Kasonaweja Kab M Raya";"FQ87+PGR, Watiaro, Alang alang atas, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.5331255";"137.7637565";"https://maps.google.com/?cid=0x0:0x96faac89bb399e01"
"perumahan";"Perumahan";"Anggreso Baru (Muara Titi)";"RVRW+GGJ, Anggreso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.1586605";"137.8962763";"https://maps.google.com/?cid=0x0:0x7f98b20c34029270"
"perumahan";"Pembangunan Perumahan";"Kampung bonoi";"47QR+8WP, Bonoi, Sawai, Kabupaten Mamberamo Raya, Papua 98262";"Bonoi, Sawai, Kabupaten Mamberamo Raya";"PAPUA";"98262";"Indonesia";"";"-1.8613232";"137.2914885";"https://maps.google.com/?cid=0x0:0xb8f91919104d95fe"
"perumahan";"Perumahan";"Komp. Pendidikan";"M2XM+9MV, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.3015085";"138.0341652";"https://maps.google.com/?cid=0x0:0x5ea1f43cfc4a4f4"
"perumahan";"Komplek perumahan";"Namunaweja";"P2CF+74G, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.2793181";"138.0228402";"https://maps.google.com/?cid=0x0:0xbf442f03f6b75429"
"perumahan";"Komplek perumahan";"Kompleks kay";"M2JR+5VP, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376";"Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya";"PAPUA";"99376";"Indonesia";"";"-2.3199195";"138.0429128";"https://maps.google.com/?cid=0x0:0x4e9b0b03b92a1a67"
"perumahan";"Komplek perumahan";"Rumah Heru Parabola";"P2CQ+C55, Perum dinkes belakang pos TNI, Kasonaweja, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-2.278995";"138.037994";"https://maps.google.com/?cid=0x0:0x4648ae069c619315"
"perumahan";"perumahan";"Sawai";"Bonoi, Sawai, Kabupaten Mamberamo Raya, Papua";"Kabupaten Mamberamo Raya, Papua";"PAPUA";"";"Indonesia";"";"-1.766667";"137.25";"https://maps.google.com/?cid=0x0:0x25b25daa42d2b019"
