Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Riau 28752";"Kabupaten Kepulauan Meranti, Riau";"Kabupaten Kepulauan Meranti, Riau";"RIAU";"";"Indonesia";"";"";"";"1.1463613";"102.3922135";"https://maps.google.com/?cid=0x0:0x7b339c520c77a9ae";""
"komplek housing";"Komplek perumahan";"Family House Bayu Fahriba";"3C5P+W74, Jl. Bambu Cina, Tlk. Belitung, Kec. Merbau, Kabupaten Kepulauan Meranti, Riau 28752";"Jl. Bambu Cina, Tlk. Belitung, Kec. Merbau, Kabupaten Kepulauan Meranti";"RIAU";"28752";"Indonesia";"";"";"";"1.0597679";"102.4357037";"https://maps.google.com/?cid=0x0:0x528c63c84e60a078";""
"komplek housing";"Komplek perumahan";"Dudu home";"X89X+76, Lukit, Kec. Merbau, Kabupaten Kepulauan Meranti, Riau";"Kabupaten Kepulauan Meranti, Riau";"RIAU";"";"Indonesia";"";"";"";"0.9681949";"102.3480711";"https://maps.google.com/?cid=0x0:0x72d70be4744d4b5d";""
"komplek housing";"Gedung Apartemen";"Rumah Fadil";"4G8M+HP9, Jalan ampuan, Kuala Merbau, Kec. Pulau Merbau, Kabupaten Kepulauan Meranti, Riau";"Kabupaten Kepulauan Meranti, Riau";"RIAU";"";"Indonesia";"";"";"";"1.1164184";"102.5343481";"https://maps.google.com/?cid=0x0:0xf9cc98d90a324fc9";""
"komplek housing";"Pembangunan Perumahan";"Kampung rintis Dedi";"3GRP+C3W, Renak Dungun, Kec. Pulau Merbau, Kabupaten Kepulauan Meranti, Riau 28752";"Renak Dungun, Kec. Pulau Merbau, Kabupaten Kepulauan Meranti";"RIAU";"28752";"Indonesia";"";"";"";"1.0911197";"102.5352136";"https://maps.google.com/?cid=0x0:0xfccda0d55a49aea";""
"komplek housing";"Komplek perumahan";"Perumahan PT. RAPP Estate Sie. Hiu";"97H8+35M, Unnamed Road, Tj. Padang, Kec. Merbau, Kabupaten Kepulauan Meranti, Riau 28752";"Unnamed Road, Tj. Padang, Kec. Merbau, Kabupaten Kepulauan Meranti";"RIAU";"28752";"Indonesia";"";"";"";"1.3777029";"102.2654247";"https://maps.google.com/?cid=0x0:0xabae31fd4a476f9c";""
"komplek housing";"Komplek perumahan";"Muhamad Dudu garden sagu";"X8RC+M7, Lukit, Kec. Merbau, Kabupaten Kepulauan Meranti, Riau";"Kabupaten Kepulauan Meranti, Riau";"RIAU";"";"Indonesia";"";"";"";"0.991696";"102.32064";"https://maps.google.com/?cid=0x0:0x29779b227b5d695b";""
"komplek housing";"Pembangunan Perumahan";"panji PWK jabar";"XCCX+3WQ, Pelantai, Kec. Merbau, Kabupaten Kepulauan Meranti, Riau 28752";"Pelantai, Kec. Merbau, Kabupaten Kepulauan Meranti";"RIAU";"28752";"Indonesia";"";"";"";"0.9702072";"102.4498642";"https://maps.google.com/?cid=0x0:0xaac79e7f22da5480";""
"komplek housing";"Komplek perumahan";"Family Toifur";"Jl. Sepakat I No.1, Bagan Melibur, Kec. Merbau, Kabupaten Kepulauan Meranti, Riau";"Kabupaten Kepulauan Meranti, Riau";"RIAU";"";"Indonesia";"";"";"";"1.0592345";"102.4344182";"https://maps.google.com/?cid=0x0:0x21e34ce47a56d9f9";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Perumahan estate Sei.lukit";"275R+XJH, Lukit, Kec. Merbau, Kabupaten Kepulauan Meranti, Riau 28752";"Lukit, Kec. Merbau, Kabupaten Kepulauan Meranti";"RIAU";"28752";"Indonesia";"";"";"";"1.0099486";"102.2916114";"https://maps.google.com/?cid=0x0:0xb1762cb46d45874f";""
"komplek housing";"Komplek perumahan";"Perumahan PT RAPP Sei Hiu";"97R9+2M, Tj. Padang, Kec. Merbau, Kabupaten Kepulauan Meranti, Riau";"Kabupaten Kepulauan Meranti, Riau";"RIAU";"";"Indonesia";"";"";"";"1.3900814";"102.2692311";"https://maps.google.com/?cid=0x0:0x33fe8f738f4fd7dc";""
"komplek housing";"Gedung Apartemen";"Rumah Yul";"2F35+WG7, Wonosari, Kec. Merbau, Kabupaten Kepulauan Meranti, Riau";"Kabupaten Kepulauan Meranti, Riau";"RIAU";"";"Indonesia";"";"";"";"1.0047975";"102.4587861";"https://maps.google.com/?cid=0x0:0xabe1ca1156eff138";""
"komplek housing";"Komplek perumahan";"Dea foad";"XGHJ+WRV, Padang Kamal, Kec. Pulau Merbau, Kabupaten Kepulauan Meranti, Riau";"Kabupaten Kepulauan Meranti, Riau";"RIAU";"";"Indonesia";"";"";"";"0.9798571";"102.532058";"https://maps.google.com/?cid=0x0:0xb0ef040cbd1f0ccd";""
