Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"Parthi Puri Ubud";"Br. Silungan, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571";"Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar";"BALI";"80571";"Indonesia";" 081999492317";"";"";"-8.5547083";"115.2641606";"https://maps.google.com/?cid=0x0:0xef50601be07b2c0b";""
"hotel";"hotel";"Bali 80352";"Abiansemal, Kec. Abiansemal, Kabupaten Badung, Bali";"Kabupaten Badung, Bali";"BALI";"";"Indonesia";"";"";"";"-8.5584335";"115.2244853";"https://maps.google.com/?cid=0x0:0x1c00c5eb6016be40";""
"hotel";"hotel";"Elemento Bali";"Jl. Raya Gerih Gg. Sandat No.8, Sibang Kaja, Kec. Abiansemal, Kabupaten Badung, Bali 80352";"Sibang Kaja, Kec. Abiansemal, Kabupaten Badung";"BALI";"80352";"Indonesia";" 0881082818289";"";"";"-8.5636963";"115.2092973";"https://maps.google.com/?cid=0x0:0x5d9a5296e27f2ef7";""
"hotel";"hotel";"Gopala villa ubud";"Unnamed Road, Mekar Bhuwana, Kec. Abiansemal, Kabupaten Badung, Bali 80352";"Mekar Bhuwana, Kec. Abiansemal, Kabupaten Badung";"BALI";"80352";"Indonesia";" 085739299990";"";"";"-8.5481542";"115.2258098";"https://maps.google.com/?cid=0x0:0x65f9a1a377a4b242";""
"hotel";"hotel";"Freddies Villas Ubud Bali";"Jalan Gunung Abang, Banjar, Penataran, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80423";"Banjar, Penataran, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar";"BALI";"80423";"Indonesia";" 081775126480";"";"";"-8.5784983";"115.2650975";"https://maps.google.com/?cid=0x0:0xb42daf43039b9c66";""
"hotel";"hotel";"Ashoka Tree Resort Ubud";"Jl. Catur Muka II, Banjar Tanggayuda, Kedewatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571";"Banjar Tanggayuda, Kedewatan, Kecamatan Ubud, Kabupaten Gianyar";"BALI";"80571";"Indonesia";" 081339110206";"";"";"-8.4621486";"115.2484516";"https://maps.google.com/?cid=0x0:0xfc26faf68b73bdff";""
"hotel";"hotel";"N/A";"";"";"BALI";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xebcb8110ca69bff6%7C/g/11b7w0q46_%7Cid-ID";""
"hotel";"hotel";"Bakung Ubud Resort  Villa";"Jalan Sriwedari, Desa Tegallantang G799+299 Ubud, Ubud, Kec. Tegallalang, Kabupaten Gianyar, Bali 80571";"Desa Tegallantang G799+299 Ubud, Ubud, Kec. Tegallalang, Kabupaten Gianyar";"BALI";"80571";"Indonesia";" 03614792660";"";"";"-8.482455";"115.2684987";"https://maps.google.com/?cid=0x0:0xebcb8110ca69bff6";""
"hotel";"hotel";"Triyana Resort Carangsari";"H64F+JJH, Jl. Tukad Ayung XIX, Carangsari, Kec. Petang, Kabupaten Badung, Bali 80353";"Jl. Tukad Ayung XIX, Carangsari, Kec. Petang, Kabupaten Badung";"BALI";"80353";"Indonesia";" 081339498851";"";"";"-8.4434295";"115.2241015";"https://maps.google.com/?cid=0x0:0x16dfa149b143af29";""
"hotel";"hotel";"Tebeduwe Joglo Villa";"F62J+W36, Jl Teba Duwe Banjar, Mekar Bhuwana, Abiansemal, Badung Regency, Bali 80352";"Jl Teba Duwe Banjar, Mekar Bhuwana, Abiansemal, Badung Regency";"BALI";"80352";"Indonesia";" 082147549549";"";"";"-8.5472644";"115.2303741";"https://maps.google.com/?cid=0x0:0x961b69b0b7a99f7b";""
"hotel";"hotel";"Puri Teduh Guesthouse Ubud";"Jl. Raya Nyuh Kuning, Mas, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571";"Mas, Kecamatan Ubud, Kabupaten Gianyar";"BALI";"80571";"Indonesia";" 087861759654";"";"";"-8.5286567";"115.2585628";"https://maps.google.com/?cid=0x0:0x56fc48826dfa0e50";""
"hotel";"hotel";"Paisa Ubud - Unique, Relaxing Experiences Stay in Ubud";"Jl. Cemp. Putih No.5, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571";"Sayan, Kecamatan Ubud, Kabupaten Gianyar";"BALI";"80571";"Indonesia";" 03614792299";"";"";"-8.5031448";"115.2475557";"https://maps.google.com/?cid=0x0:0x93bf1578b33f2643";""
"hotel";"hotel";"N/A";"";"";"BALI";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xd4322ebbb156e795%7C/g/1td82tlt%7Cid-ID";""
"hotel";"hotel";"Belvilla Y Resort Near Central Ubud";"80571, Jl. Penestanan, Sayan, Kecamatan Ubud Hotel near Museum Blanco 400 m Kabupaten Gianyar, Bali, 80571";"Jl. Penestanan, Sayan, Kecamatan Ubud Hotel near Museum Blanco 400 m Kabupaten Gianyar";"BALI";"80571";"Indonesia";" 02129707601";"";"";"-8.5059793";"115.2508953";"https://maps.google.com/?cid=0x0:0xd4322ebbb156e795";""
"hotel";"hotel";"Sukanami Villa Ubud";"Jl. Raya Payangan No.desa, meliling kelod, Kec. Payangan, Kabupaten Gianyar, Bali 80572";"meliling kelod, Kec. Payangan, Kabupaten Gianyar";"BALI";"80572";"Indonesia";" 085280073823";"";"";"-8.4482886";"115.242462";"https://maps.google.com/?cid=0x0:0xe7eeb3999adabd7b";""
"hotel";"hotel";"Dharma Sentana Ubud Guest House";"Jl. Tegal Sari No.3, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571";"Ubud, Kecamatan Ubud, Kabupaten Gianyar";"BALI";"80571";"Indonesia";" 085738272604";"";"";"-8.5044598";"115.2637972";"https://maps.google.com/?cid=0x0:0x702778ff55aeeff3";""
"hotel";"hotel";"Asri Sari Villa Ubud";"Jl. Lodsema Jl. Raya Mawang, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80582";"Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar";"BALI";"80582";"Indonesia";" 085142728375";"";"";"-8.5757831";"115.2658369";"https://maps.google.com/?cid=0x0:0x29d2544009e88cff";""
"hotel";"hotel";"Griya Bun Sari";"Let, Jl. Delima no 2 Marge, Jl. Uma Bun, Angantaka, Kec. Abiansemal, Kabupaten Badung, Bali 80352";"Jl. Delima no 2 Marge, Jl. Uma Bun, Angantaka, Kec. Abiansemal, Kabupaten Badung";"BALI";"80352";"Indonesia";" 08174754898";"";"";"-8.5837808";"115.2385468";"https://maps.google.com/?cid=0x0:0x317ffdc801c2e412";""
"hotel";"hotel";"Pondok Wisata Langit Biru";"Sibang Kaja, Kec. Abiansemal, Kabupaten Badung, Bali 80352";"Kec. Abiansemal, Kabupaten Badung";"BALI";"80352";"Indonesia";" 08973714234";"";"";"-8.5717182";"115.2211637";"https://maps.google.com/?cid=0x0:0xf8d5e764061ded97";""
"hotel";"hotel";"Puri Cili Ubud";"Unnamed road, Singapadu Kaler, Kec. Sukawati, Kabupaten Gianyar, Bali 80571";"Singapadu Kaler, Kec. Sukawati, Kabupaten Gianyar";"BALI";"80571";"Indonesia";"";"";"";"-8.5536367";"115.2503039";"https://maps.google.com/?cid=0x0:0x5c3e48447008d3e";""
"hotel";"hotel";"N/A";"";"";"BALI";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x924efa58bdc4035c%7C/g/11bycfmxwd%7Cid-ID";""
"hotel";"hotel";"Kakul Villas  Suites by Supala";"Jl. A.A. Gede Rai, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571";"Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar";"BALI";"80571";"Indonesia";" 03614792523";"";"";"-8.5337318";"115.2621053";"https://maps.google.com/?cid=0x0:0x924efa58bdc4035c";""
"hotel";"hotel";"Pandawa Lofts";"G7PC+9R3, Jl. Tirta Tawar Gg. Cinta, Tegallalang, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571";"Jl. Tirta Tawar Gg. Cinta, Tegallalang, Kecamatan Ubud, Kabupaten Gianyar";"BALI";"80571";"Indonesia";" 081933058405";"";"";"-8.4647222";"115.27175";"https://maps.google.com/?cid=0x0:0x77e96d264f7c0242";""
"hotel";"hotel";"Pondok Saren Anyar";"Jl. Raya Anggungan Lukluk , Kec. Mengwi, Badung, Bali, 80352";"Kec. Mengwi, Badung";"BALI";"80352";"Indonesia";" 02129707601";"";"";"-8.5616965";"115.1959227";"https://maps.google.com/?cid=0x0:0xc44924ba406a072b";""
"hotel";"hotel";"Men Bebas Homestay";"Unnamed Road, Singapadu Kaler, Kec. Sukawati, Kabupaten Gianyar, Bali 80352";"Singapadu Kaler, Kec. Sukawati, Kabupaten Gianyar";"BALI";"80352";"Indonesia";" 0895417300072";"";"";"-8.5525432";"115.2432119";"https://maps.google.com/?cid=0x0:0xf43a2b03e5112eef";""
"hotel";"hotel";"Raditya homestay";"C6X9+J8P, Mambal, Kec. Abiansemal, Kabupaten Badung, Bali 80352";"Mambal, Kec. Abiansemal, Kabupaten Badung";"BALI";"80352";"Indonesia";" 081239697564";"";"";"-8.550804";"115.2180792";"https://maps.google.com/?cid=0x0:0xc6719e1524e70a41";""
"hotel";"hotel";"De Kutuh";"Jalan Tirta Tawar, Petulu, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571";"Petulu, Kecamatan Ubud, Kabupaten Gianyar";"BALI";"80571";"Indonesia";" 08123955812";"";"";"-8.5005611";"115.2693357";"https://maps.google.com/?cid=0x0:0x865860bed28b3ac7";""
"hotel";"hotel";"Vaneka Garden House";"Banjar Begawan, Melinggih Kelod, Kec. Payangan, Kabupaten Gianyar, Bali 80572";"Melinggih Kelod, Kec. Payangan, Kabupaten Gianyar";"BALI";"80572";"Indonesia";" 081338315303";"";"";"-8.4465234";"115.2356882";"https://maps.google.com/?cid=0x0:0xdedc5c871882597b";""
"hotel";"hotel";"Damuh Guest House";"Jl. Banjar Tegas Kawan, Gg. Merak No, 21, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571";"Gg. Merak No, 21, Peliatan, Kecamatan Ubud, Kabupaten Gianyar";"BALI";"80571";"Indonesia";" 081999175151";"";"";"-8.5260514";"115.2708717";"https://maps.google.com/?cid=0x0:0x806847245fc64bf4";""
