Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
toko bangunan,toko bangunan,Kalimantan Timur 76285,"Kabupaten Penajam Paser Utara, Kalimantan Timur","Kabupaten Penajam Paser Utara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-1.4657049,116.4665975,https://maps.google.com/?cid=0x0:0x5943ae3383f3a6bc,
toko bangunan,Toko Bahan Bangunan,Toko bangunan Sumber Rejeki,"FFW4+67H, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,1348000073.0,,,-1.5044376,116.4557446,https://maps.google.com/?cid=0x0:0xcdc8f94a16e46d6c,
toko bangunan,Toko Bahan Bangunan,Toko sinar bangunan babulu,"Jl. Propinsi No.KM. 48, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,81347388868.0,,,-1.5021436,116.4578093,https://maps.google.com/?cid=0x0:0xe00713d6cc523a67,
toko bangunan,Toko Bahan Bangunan,Toko Fajar,"FFV2+7C4, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,81346550971.0,,,-1.5068627,116.4510743,https://maps.google.com/?cid=0x0:0x9c265c69fd9def4e,
toko bangunan,Toko Bahan Bangunan,TB Borneo Raya,"Jl. Penajam-Kuaro barat, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,81282798289.0,,,-1.4995739,116.4612082,https://maps.google.com/?cid=0x0:0x3fc4b39b433d7ab6,
toko bangunan,Toko Bahan Bangunan,Toko Jaya bangunan,"Gn. Intan, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,81351230990.0,,,-1.5299275,116.4485721,https://maps.google.com/?cid=0x0:0x44c847a992e1b383,
toko bangunan,Toko Perlengkapan Rumah,Toko bangunan kharisma jaya,"FC5X+R9G, Unnamed Road, Gn. Intan, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Unnamed Road, Gn. Intan, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.5404323,116.4484645,https://maps.google.com/?cid=0x0:0x4a9e2f3a27ea0a7,
toko bangunan,Toko Bahan Bangunan,Bintang Mas,"FCRV+V2Q, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.5077944,116.4426025,https://maps.google.com/?cid=0x0:0xd1fc178a8abca4d8,
toko bangunan,Toko Bahan Bangunan,Toko Rizky,"GF26+272, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.4999952,116.4606504,https://maps.google.com/?cid=0x0:0x2615cb729c71a71a,
toko bangunan,Toko Bahan Bangunan,TK Mitra Baru,"GF27+H47, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.4983445,116.4629642,https://maps.google.com/?cid=0x0:0x3f086ae3617075a7,
toko bangunan,Pusat Perbelanjaan,Toko Pasir Jaya Abadi (PJA) Babulu,"Jl. Penajam-Kuaro, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,82279629048.0,,,-1.5021979,116.458057,https://maps.google.com/?cid=0x0:0x1c55eee4ac8b454b,
toko bangunan,Toko Kayu,Kios Kayu Sinar Abadi2,"FCVP+Q9G, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,82350103224.0,,,-1.5055639,116.4359459,https://maps.google.com/?cid=0x0:0xd1973f6e327b9d5c,
toko bangunan,Toko Kayu,Kios Kayu Sinar Abadi1,"FCRQ+PQ8, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,82350103224.0,,,-1.5082157,116.4394653,https://maps.google.com/?cid=0x0:0x57ee6457d19dc83b,
toko bangunan,Pusat Perbelanjaan,Toko Tata indah,"GFCX+GG8, Labangka, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Labangka, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.4790923,116.4982193,https://maps.google.com/?cid=0x0:0x77b911c931e930d5,
toko bangunan,Toko Bahan Bangunan,TOKO BENING(Pesan Antar By WA),"Jalan Widodo No.1, Gunung Intan, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur","Kabupaten Penajam Paser Utara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,81347563619.0,,,-1.5143427,116.4168637,https://maps.google.com/?cid=0x0:0x46fdf154d36f2d92,
toko bangunan,Jasa Konstruksi dan Bangunan,Plafon PVC babulu Agus plafon,"Jl. Propinsi No.km50, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,85246353544.0,,,-1.5073103,116.4417637,https://maps.google.com/?cid=0x0:0x1962bfa54c456e76,
