Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
hotel;hotel;Kec. Alor Bar. Laut;Kabupaten Alor, Nusa Tenggara Tim.;Kabupaten Alor, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;;;;-81.618.154;1.244.536.235;https://maps.google.com/?cid=0x0:0x8149820c885abe83;
hotel;hotel;Simfony Hotel Alor;Jl. Diponegoro, Wetabua, Kec. Tlk. Mutiara, Kabupaten Alor, Nusa Tenggara Tim.;Kabupaten Alor, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;3862221550;;;-82.167.411;1.245.254.424;https://maps.google.com/?cid=0x0:0xef16147c24ba125d;
hotel;hotel;Aikoli Kang Resort;Kampung Aikoli, Kelurahan, RT.15/RW.5, Welai Bar., Kec. Tlk. Mutiara, Kabupaten Alor, Nusa Tenggara Tim. 85816;Kelurahan, RT.15/RW.5, Welai Bar., Kec. Tlk. Mutiara, Kabupaten Alor;NUSA TENGGARA TIMUR;85816;Indonesia;85253084242;;;-82.248.438;1.245.493.538;https://maps.google.com/?cid=0x0:0xbab7b7713e342973;
hotel;hotel;Alami Alor Dive  Snorkel Resort;Desa Wolwal, Wolwal, Kec. Alor Barat Daya, Kabupaten Alor, Nusa Tenggara Tim.;Kabupaten Alor, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;82340218379;;;-8.272.424;124.444.837;https://maps.google.com/?cid=0x0:0xa3a16f6251b4a38;
hotel;hotel;Alor Tanapi Dive Resort;Sebanjar, Alor Besar, Kec. Alor Bar. Laut, Kabupaten Alor, Nusa Tenggara Tim. 85813;Alor Besar, Kec. Alor Bar. Laut, Kabupaten Alor;NUSA TENGGARA TIMUR;85813;Indonesia;81244021697;;;-8.230.403;1.243.983.587;https://maps.google.com/?cid=0x0:0xe372e66a05187f6a;
hotel;hotel;Hotel Pulo Alor;QGMW+JJG, Mutiara, Kec. Tlk. Mutiara, Kabupaten Alor, Nusa Tenggara Tim.;Kabupaten Alor, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;38621727;;;-82.159.341;1.245.465.706;https://maps.google.com/?cid=0x0:0xc2d539b94b2b1877;
hotel;hotel;Alor - La P'tite Kepa Bungalows  Diving;Pulau Kepa, Desa Alor Kecil, Abal, Alor Kecil, Kec. Alor Bar. Laut, Kabupaten Alor, Nusa Tenggara Tim.;Kabupaten Alor, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;85338244264;;;-82.688.827;1.244.013.309;https://maps.google.com/?cid=0x0:0xc23f4ca5dd3c594c;
hotel;hotel;Alor Divers - Eco Dive Resort - Alor Archipelago - Indonesie;Jawa Toda, Batu, Kec. Pantar Tim., Kabupaten Alor, Nusa Tenggara Tim.;Kabupaten Alor, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;81317804133;;;-82.118.497;1.243.288.333;https://maps.google.com/?cid=0x0:0x5cee0d47f614e74e;
hotel;hotel;Alor Beach Front Bungalows;QC82+J2M, Sebanjar, Alor Besar, Kec. Alor Bar. Laut, Kabupaten Alor, Nusa Tenggara Tim. 85813;Sebanjar, Alor Besar, Kec. Alor Bar. Laut, Kabupaten Alor;NUSA TENGGARA TIMUR;85813;Indonesia;82341095312;;;-82.334.223;1.244.000.601;https://maps.google.com/?cid=0x0:0xd652ddcd24be8d32;
hotel;hotel;Villa Hulla_Bruri;Hulla, Alor Besar, Kec. Alor Bar. Laut, Kabupaten Alor, Nusa Tenggara Tim. 85851;Alor Besar, Kec. Alor Bar. Laut, Kabupaten Alor;NUSA TENGGARA TIMUR;85851;Indonesia;81238074545;;;-82.074.857;1.244.095.956;https://maps.google.com/?cid=0x0:0x65a27fb5542683bb;
hotel;hotel;Air Dive Alor;Alor Kecil, Kec. Alor Bar. Laut, Kabupaten Alor, Nusa Tenggara Tim.;Kabupaten Alor, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;81395505313;;;-8.272.577;124.407.383;https://maps.google.com/?cid=0x0:0x6dbdaeed13ad2356;
hotel;hotel;Marangki_kepa;Alor Kecil, Kec. Alor Bar. Laut, Kabupaten Alor, Nusa Tenggara Tim.;Kabupaten Alor, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;82146500881;;;-82.714.693;124.403.769;https://maps.google.com/?cid=0x0:0x24bd41f144109a1d;
hotel;hotel;SAVU South Alor;Halerman, Kec. Alor Barat Daya, Kabupaten Alor, Nusa Tenggara Tim. 85861;Kec. Alor Barat Daya, Kabupaten Alor;NUSA TENGGARA TIMUR;85861;Indonesia;82292380189;;;-83.995.971;1.243.416.712;https://maps.google.com/?cid=0x0:0xb69167f861eaf0fe;
hotel;hotel;Hotel Pelangi Indah;Jl. Diponegoro No. 34 - 35, Kalabahi, Kalabahi Kota, Kec. Tlk. Mutiara, Kabupaten Alor, Nusa Tenggara Tim. 85813;Kalabahi, Kalabahi Kota, Kec. Tlk. Mutiara, Kabupaten Alor;NUSA TENGGARA TIMUR;85813;Indonesia;38621251;;;-82.166.348;1.245.257.742;https://maps.google.com/?cid=0x0:0x5c7c5cbbb1b4e356;
hotel;hotel;Hotel Melati;Jl. Dr. Sutomo No.1, Kalabahi Kota, Kec. Tlk. Mutiara, Kabupaten Alor, Nusa Tenggara Tim.;Kabupaten Alor, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;81239104343;;;-82.187.496;1.245.175.466;https://maps.google.com/?cid=0x0:0x1e6a7125a1eb95aa;
hotel;hotel;Mokkolipa Guesthouse;Lipa pantai, Kec. Tlk. Mutiara, Kabupaten Alor, Nusa Tenggara Tim.;Kabupaten Alor, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;81339626092;;;-82.174.849;1.245.293.021;https://maps.google.com/?cid=0x0:0x5b9491f3a762bb84;
hotel;hotel;Adi Darma Hotel;QGJ8+JG5, Jl. R.E. Martadinata, Kalabahi Kota, Kec. Tlk. Mutiara, Kabupaten Alor, Nusa Tenggara Tim.;Kabupaten Alor, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;386821049;;;-82.184.874;1.245.163.631;https://maps.google.com/?cid=0x0:0xbde8078ce46a122a;
