Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"Batu Mandi";"Kec. Batu Mandi, Kabupaten Balangan, Kalimantan Selatan";"Kabupaten Balangan, Kalimantan Selatan";"KALIMANTAN SELATAN";"";"Indonesia";"";"";"";"-2.4106555";"115.4141193";"https://maps.google.com/?cid=0x0:0x6f0ce48d97cc3912";""
"hotel";"hotel";"Kec. Awayan";"Kabupaten Balangan, Kalimantan Selatan";"Kabupaten Balangan, Kalimantan Selatan";"KALIMANTAN SELATAN";"";"Indonesia";"";"";"";"-2.4131684";"115.5291259";"https://maps.google.com/?cid=0x0:0x383c814bc1fe5fe6";""
"hotel";"hotel";"Madani Hotel";"C9FR+RQM, Mandingin, Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71315";"Mandingin, Kec. Barabai, Kabupaten Hulu Sungai Tengah";"KALIMANTAN SELATAN";"71315";"Indonesia";" 051744005";"";"";"-2.5754222";"115.3919226";"https://maps.google.com/?cid=0x0:0x868b606ecda0bbc5";""
"hotel";"hotel";"Hotel Qianna Inn Barabai";"Barabai Bar., Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71352";"Kec. Barabai, Kabupaten Hulu Sungai Tengah";"KALIMANTAN SELATAN";"71352";"Indonesia";" 085251009678";"";"";"-2.5898754";"115.3807428";"https://maps.google.com/?cid=0x0:0x6f5f17607688f334";""
"hotel";"hotel";"Alif Guest House Balangan";"Jl. A. Yani Rica, Paringin Timur, Bungin, Paringin Selatan, Balangan Regency, South Kalimantan 71611";"Paringin Timur, Bungin, Paringin Selatan, Balangan Regency";"KALIMANTAN SELATAN";"71611";"Indonesia";" 081351467788";"";"";"-2.3306875";"115.4630625";"https://maps.google.com/?cid=0x0:0x89a045591b5d3216";""
"hotel";"hotel";"Ar-Raudah Hotel Syariah";"Jl.lingkar timur No.Rt13, Paringin Kota, Kec. Paringin, Kabupaten Balangan, Kalimantan Selatan";"Kabupaten Balangan, Kalimantan Selatan";"KALIMANTAN SELATAN";"";"Indonesia";" 082156152190";"";"";"-2.3222865";"115.4658112";"https://maps.google.com/?cid=0x0:0x9e8a44d38ffe152a";""
"hotel";"hotel";"Hotel Beza";"Jl. A. Yani Jl. Mabuun Raya, Mabuun, Kec. Tj., Kabupaten Tabalong, Kalimantan Selatan 71571";"Mabuun, Kec. Tj., Kabupaten Tabalong";"KALIMANTAN SELATAN";"71571";"Indonesia";"  tidak ada>AParkiran: Ada";"";"";"-2.1769232";"115.4197622";"https://maps.google.com/?cid=0x0:0xc77cedbbb880d380";""
"hotel";"hotel";"Sudut Indah Hotel";"Jl. Murakata No.78, Bukat, Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71352";"Bukat, Kec. Barabai, Kabupaten Hulu Sungai Tengah";"KALIMANTAN SELATAN";"71352";"Indonesia";" 081257728235";"";"";"-2.5887001";"115.3741841";"https://maps.google.com/?cid=0x0:0x587796981ab398d0";""
"hotel";"hotel";"Hotel Wahyu Perdana";"JL. Jenderal Ahmad Yani No.30, Tamiang Layang, Kec. Dusun Tim., Kabupaten Barito Timur, Kalimantan Tengah 73671";"Tamiang Layang, Kec. Dusun Tim., Kabupaten Barito Timur";"KALIMANTAN SELATAN";"73671";"Indonesia";" 0811504139";"";"";"-2.1108809";"115.1647142";"https://maps.google.com/?cid=0x0:0xb404b706a6249ce3";""
"hotel";"hotel";"Penginapan Qianna Inn Kandangan";"Jl. Jend. Sudirman No.63, Tibung Raya, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71213";"Tibung Raya, Kec. Kandangan, Kabupaten Hulu Sungai Selatan";"KALIMANTAN SELATAN";"71213";"Indonesia";" 05172032321";"";"";"-2.7939155";"115.2620222";"https://maps.google.com/?cid=0x0:0x3eb8226beffe5a0a";""
"hotel";"hotel";"Ar-Raudah Hotel Syariah";"Jl.lingkar timur No.Rt13, Paringin Kota, Kec. Paringin, Kabupaten Balangan, Kalimantan Selatan";"Kabupaten Balangan, Kalimantan Selatan";"KALIMANTAN SELATAN";"";"Indonesia";" 082156152190";"";"";"-2.3222865";"115.4658112";"https://maps.google.com/?cid=0x0:0x9e8a44d38ffe152a";""
"hotel";"hotel";"Kalimantan Selatan 71663";"Kalimantan Selatan";"Kalimantan Selatan";"KALIMANTAN SELATAN";"";"Indonesia";"";"";"";"-2.4198707";"115.4022706";"https://maps.google.com/?cid=0x0:0x41176e2d43c2c021";""
