Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Hotel Anisa,"Jl. Beringin, Dorotangga, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84213","Dorotangga, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84213.0,Indonesia,81246492505,,,-85.354.262,118.466.173,https://maps.google.com/?cid=0x0:0xdbda377c5d5fce6f,
hotel,hotel,Nusa Tenggara Bar. 84211,"Kareke, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar.","Kabupaten Dompu, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-85.486.112,1.184.717.975,https://maps.google.com/?cid=0x0:0x19504ec7d1952ed4,
hotel,hotel,Hotel Rinjani,"JL. Jend. Sudirman No. 1, Bada, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84211","Bada, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84211.0,Indonesia,37321445,,,-8.539.165,118.458.007,https://maps.google.com/?cid=0x0:0x6e3fb6cd3109a195,
hotel,hotel,Hotel Anisa,"Jl. Beringin, Dorotangga, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84213","Dorotangga, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84213.0,Indonesia,81246492505,,,-85.354.262,118.466.173,https://maps.google.com/?cid=0x0:0xdbda377c5d5fce6f,
hotel,hotel,Alffiah Hotel,"826G+CH, Labuan Jambu, Kec. Tarano, Kabupaten Sumbawa, Nusa Tenggara Bar. 84384","Labuan Jambu, Kec. Tarano, Kabupaten Sumbawa",NUSA TENGGARA BARAT,84384.0,Indonesia,85198459541,,,-86.892.381,1.180.268.346,https://maps.google.com/?cid=0x0:0xb48b466e0469e2dd,
hotel,hotel,MERPATI INN HOTEL,"Jl. Lintas Lakey, Huu, Kec. Hu'u, Kabupaten Dompu, Nusa Tenggara Bar. 84271","Huu, Kec. Hu'u, Kabupaten Dompu",NUSA TENGGARA BARAT,84271.0,Indonesia,82140933944,,,-88.049.547,1.183.832.464,https://maps.google.com/?cid=0x0:0x2968b352caa8d6a9,
hotel,hotel,Homestay SUKSES TAMBORA,"RP9J+P8F, Kadindi Bar., Kec. Pekat, Kabupaten Dompu, Nusa Tenggara Bar. 84261","Kadindi Bar., Kec. Pekat, Kabupaten Dompu",NUSA TENGGARA BARAT,84261.0,Indonesia,,,,-81.806.977,1.177.307.889,https://maps.google.com/?cid=0x0:0x5e42548cc8a11881,
hotel,hotel,Nusa Tenggara Bar. 84212,"Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar.","Kabupaten Dompu, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-85.476.799,1.184.834.766,https://maps.google.com/?cid=0x0:0x6aea138ba2d36218,
hotel,hotel,Hotel Rinjani,"JL. Jend. Sudirman No. 1, Bada, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84211","Bada, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84211.0,Indonesia,37321445,,,-8.539.165,118.458.007,https://maps.google.com/?cid=0x0:0x6e3fb6cd3109a195,
hotel,hotel,Transit Hotel,"7X6X+XF3, Jl. Lintas Sumbawa - Bima, Labuan Bontong, Kec. Tarano, Kabupaten Sumbawa, Nusa Tenggara Bar. 84384","Jl. Lintas Sumbawa - Bima, Labuan Bontong, Kec. Tarano, Kabupaten Sumbawa",NUSA TENGGARA BARAT,84384.0,Indonesia,,,,-87.376.234,1.179.986.837,https://maps.google.com/?cid=0x0:0x32966a0c7891793b,
hotel,hotel,Alffiah Hotel,"826G+CH, Labuan Jambu, Kec. Tarano, Kabupaten Sumbawa, Nusa Tenggara Bar. 84384","Labuan Jambu, Kec. Tarano, Kabupaten Sumbawa",NUSA TENGGARA BARAT,84384.0,Indonesia,85198459541,,,-86.892.381,1.180.268.346,https://maps.google.com/?cid=0x0:0xb48b466e0469e2dd,
hotel,hotel,Homestay SUKSES TAMBORA,"RP9J+P8F, Kadindi Bar., Kec. Pekat, Kabupaten Dompu, Nusa Tenggara Bar. 84261","Kadindi Bar., Kec. Pekat, Kabupaten Dompu",NUSA TENGGARA BARAT,84261.0,Indonesia,,,,-81.806.977,1.177.307.889,https://maps.google.com/?cid=0x0:0x5e42548cc8a11881,
hotel,hotel,Hotel Anisa,"Jl. Beringin, Dorotangga, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84213","Dorotangga, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84213.0,Indonesia,81246492505,,,-85.354.262,118.466.173,https://maps.google.com/?cid=0x0:0xdbda377c5d5fce6f,
hotel,hotel,Nusa Tenggara Bar. 84213,"Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar.","Kabupaten Dompu, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-85.029.473,1.184.571.974,https://maps.google.com/?cid=0x0:0x36282ed0d4e435d1,
hotel,hotel,Hotel Rinjani,"JL. Jend. Sudirman No. 1, Bada, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84211","Bada, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84211.0,Indonesia,37321445,,,-8.539.165,118.458.007,https://maps.google.com/?cid=0x0:0x6e3fb6cd3109a195,
hotel,hotel,Alffiah Hotel,"826G+CH, Labuan Jambu, Kec. Tarano, Kabupaten Sumbawa, Nusa Tenggara Bar. 84384","Labuan Jambu, Kec. Tarano, Kabupaten Sumbawa",NUSA TENGGARA BARAT,84384.0,Indonesia,85198459541,,,-86.892.381,1.180.268.346,https://maps.google.com/?cid=0x0:0xb48b466e0469e2dd,
hotel,hotel,MERPATI INN HOTEL,"Jl. Lintas Lakey, Huu, Kec. Hu'u, Kabupaten Dompu, Nusa Tenggara Bar. 84271","Huu, Kec. Hu'u, Kabupaten Dompu",NUSA TENGGARA BARAT,84271.0,Indonesia,82140933944,,,-88.049.547,1.183.832.464,https://maps.google.com/?cid=0x0:0x2968b352caa8d6a9,
hotel,hotel,Transit Hotel,"7X6X+XF3, Jl. Lintas Sumbawa - Bima, Labuan Bontong, Kec. Tarano, Kabupaten Sumbawa, Nusa Tenggara Bar. 84384","Jl. Lintas Sumbawa - Bima, Labuan Bontong, Kec. Tarano, Kabupaten Sumbawa",NUSA TENGGARA BARAT,84384.0,Indonesia,,,,-87.376.234,1.179.986.837,https://maps.google.com/?cid=0x0:0x32966a0c7891793b,
hotel,hotel,Hotel Terapung,"Bugis, Kec. Sape, Kabupaten Bima, Nusa Tenggara Bar. 84182","Kec. Sape, Kabupaten Bima",NUSA TENGGARA BARAT,84182.0,Indonesia,85339106399,,,-8.574.827,1.190.120.281,https://maps.google.com/?cid=0x0:0x8dd1aa765a2c8fb0,
hotel,hotel,Homestay SUKSES TAMBORA,"RP9J+P8F, Kadindi Bar., Kec. Pekat, Kabupaten Dompu, Nusa Tenggara Bar. 84261","Kadindi Bar., Kec. Pekat, Kabupaten Dompu",NUSA TENGGARA BARAT,84261.0,Indonesia,,,,-81.806.977,1.177.307.889,https://maps.google.com/?cid=0x0:0x5e42548cc8a11881,
hotel,hotel,Nusa Tenggara Bar. 84214,"Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar.","Kabupaten Dompu, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-85.235,1.184.776.372,https://maps.google.com/?cid=0x0:0x55f1573dc2143d57,
